title,text,category, subcategory
"Commercial Safety Protocols","As of 4/16/21","Commercials", " "
"COVID-19 Protocols for In-Person Commercial Auditions","Effective 9/9/2021","Commercials", " "
"2022 Audio Commercials Contract Memorandum of Agreement","Effective 4/1/2022 - 3/31/2025. Informational / Guide PDF","Commercials", " "
"Dynamic Audio Waiver","This waiver is applicable to dynamic audio commercials only. Dynamic audio advertising utilizes digital technology to create customized, audio-only ads, with elements of a commercial \"dynamically\" changed at the time of delivery to reflect the listener's specific circumstances, such as location, weather or time of day. Informational / Guide PDF","Commercials", " "
"Dynamic A.I. Audio Commercials Waiver","","Commercials", " "
"2016 Audio Commercials Contract E-Book","2016 SAG-AFTRA Commercials Contract in electronic format for Internet","Commercials", " "
"2019 Audio Commercials Contract Memorandum of Agreement","Effective 4/1/2019 - 3/31/2022","Commercials", " "
"Modified Dubbing Agreement","Agreement Covering dubbing of foreign language film into English","Dubbing", " "
"Spanish Language Modification (Dubbing) Agreement","Agreement covering dubbing of English language film into Spanish","Dubbing", " "
"Netflix Dubbing Agreement","Informational / Guide PDF","Dubbing", " "
"Negotiated Dubbing Employers Agreement","Informational / Guide PDF","Dubbing", " "
"Netflix Agreement MOA","","Dubbing", " "
"2024 Tiered-Budget Independent Interactive Media Agreement","","Interactive", " "
"2024 Independent Interactive Localization Agreement","","Interactive", " "
"Interim Interactive Media Agreement","","Interactive", " "
"2011-2014 AFTRA Interactive Media Agreement (base agreement)","","Interactive", " "
"2017 Interactive Media Memorandum of Agreement (2017 updates)","","Interactive", " "
"2020 Interactive Media Memorandum of Agreement (2020 updates)","","Interactive", " "
"2020 Interactive Localization Agreement","","Interactive", " "
"Interim Interactive Media Localization Agreement","","Interactive", " "
"2017 Music Video Agreement Memorandum","Informational / Guide PDF","Music Video", " "
"2012 Music Video Agreement","This is the master agreement for producers of music videos, detailing their responsibilities and acting as a standalone agreement for non-signatory companies.","Music Video", " "
"2021-2026 Sound Recordings Code MOA","Informational / Guide PDF","Sound Recordings", " "
"Sound Recordings Code Appendix on Artificial Intelligence","Informational / Guide PDF","Sound Recordings", " "
"2018-2020 Sound Recordings MOA","Informational / Guide PDF","Sound Recordings", " "
"2015-2017 Sound Recordings Code MOA","This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement. Sample PDF","Sound Recordings", " "
"2010-2011 Sound Recordings Code Extension","This is an extension of our master Sound Recordings Agreement. Informational / Guide PDF","Sound Recordings", " "
"2012 Music Video Supplement to Sound Recordings Code","This is the supplement Music Video Agreement for signatories of the full Sound Recordings Code. Sample PDF","Sound Recordings", " "
"2012-2014 Sound Recordings Code MOA","This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement. Sample PDF","Sound Recordings", " "
"2007-2010 Sound Recordings Code MOA","This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement. Informational / Guide PDF","Sound Recordings", " "
"2006-2007 Sound Recordings Code Extension","This is an extension of our master Sound Recordings Agreement. Informational / Guide PDF","Sound Recordings", " "
"2002-2006 Sound Recordings Code","This is the master agreement for producers of Sound Recordings and details their responsibilities under the Code. Informational / Guide PDF","Sound Recordings", " "
